AImages,SetA,corrans,corransB,BImages,SetB,CImages,SetC,corransC,corransD,DImages,SetD,EImages,SetE,corransE,A.thisRepN,A.thisTrialN,A.thisN,A.thisIndex,B.thisRepN,B.thisTrialN,B.thisN,B.thisIndex,C.thisRepN,C.thisTrialN,C.thisN,C.thisIndex,D.thisRepN,D.thisTrialN,D.thisN,D.thisIndex,E.thisRepN,E.thisTrialN,E.thisN,E.thisIndex,key_resp_2.keys,key_resp_2.rt,Intro_key_resp.keys,Intro_key_resp.rt,Break_key_resp.keys,Break_key_resp.rt,SET_A_Key.keys,SET_A_Key.corr,SET_A_Key.rt,Set_B_key_resp.keys,Set_B_key_resp.corr,Set_B_key_resp.rt,C_key_resp.keys,C_key_resp.corr,C_key_resp.rt,D_key_resp.keys,D_key_resp.corr,D_key_resp.rt,E_key_resp.keys,E_key_resp.corr,E_key_resp.rt,Outro_key_resp.keys,Outro_key_resp.rt,date,frameRate,expName,session,participant
,,,6,C:\Users\Shane\Desktop\RavenPyV5\B_4.png,B_4.png,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,,4,0,0.000762756,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,2,C:\Users\Shane\Desktop\RavenPyV5\B_9.png,B_9.png,,,,,,,,,,,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,5,0,0.000474832,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,5,C:\Users\Shane\Desktop\RavenPyV5\B_5.png,B_5.png,,,,,,,,,,,,,,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,6,0,0.000548839,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,4,C:\Users\Shane\Desktop\RavenPyV5\B_1.png,B_1.png,,,,,,,,,,,,,,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,7,0,0.000423513,,,,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_9.png,C_9.png,6,,,,,,,,,,,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,6,1,0.485541392,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_2.png,C_2.png,4,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,4,1,0.119036442,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_1.png,C_1.png,5,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,3,0,0.001038256,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_5.png,C_5.png,1,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,2,0,0.202992036,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_11.png,C_11.png,2,,,,,,,,,,,,,,,0,4,4,10,,,,,,,,,,,,,,,,,,,,,2,1,0.504065243,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_6.png,C_6.png,7,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,3,0,0.000428915,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_12.png,C_12.png,6,,,,,,,,,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,4,0,0.000382459,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_10.png,C_10.png,8,,,,,,,,,,,,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,5,0,0.017183085,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_4.png,C_4.png,8,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,7,0,0.252417781,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_8.png,C_8.png,1,,,,,,,,,,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,7,0,0.455968919,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_3.png,C_3.png,7,,,,,,,,,,,,,,,0,10,10,2,,,,,,,,,,,,,,,,,,,,,6,0,0.052149952,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,C:\Users\Shane\Desktop\RavenPyV5\C_7.png,C_7.png,6,,,,,,,,,,,,,,,0,11,11,6,,,,,,,,,,,,,,,,,,,,,5,0,0.000544517,,,,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
,,,,,,,,,6,C:\Users\Shane\Desktop\RavenPyV5\D_8.png,D_8.png,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,4,0,0.000212297,,,,,,2017_Aug_01_1224,59.44857286,Rv4,1,Shane
